03013: Konsumprisindeks, etter konsumgruppe, måned og statistikkvariabel;;
;;
;;Konsumprisindeks (2015=100)
TOTAL Totalindeks;2015M03;99,2
;2015M04;99,6
;2015M05;99,8
;2015M06;100,1
;2015M07;100,1
;2015M08;99,9
;2015M09;100,6
;2015M10;101,0
;2015M11;101,3
;2015M12;100,9
;2016M01;101,5
;2016M02;102,1
;2016M03;102,5
;2016M04;102,9
;2016M05;103,2
;2016M06;103,8
;2016M07;104,5
;2016M08;103,9
;2016M09;104,2
;2016M10;104,7
;2016M11;104,9
;2016M12;104,4
;2017M01;104,3
;2017M02;104,7
;2017M03;105,0
;2017M04;105,2
;2017M05;105,4
;2017M06;105,8
;2017M07;106,1
;2017M08;105,3
;2017M09;105,9
;2017M10;106,0
;2017M11;106,1
;2017M12;106,1
;2018M01;106,0
;2018M02;107,0
;2018M03;107,3
;2018M04;107,7
;2018M05;107,8
;2018M06;108,5
;2018M07;109,3
;2018M08;108,9
;2018M09;109,5
;2018M10;109,3
;2018M11;109,8
;2018M12;109,8
;2019M01;109,3
;2019M02;110,2
;2019M03;110,4
;2019M04;110,8
;2019M05;110,5
;2019M06;110,6
;2019M07;111,4
;2019M08;110,6
;2019M09;111,1
;2019M10;111,3
;2019M11;111,6
;2019M12;111,3
;2020M01;111,3
;2020M02;111,2
;2020M03;111,2
;2020M04;111,7
;2020M05;111,9
;2020M06;112,1
;2020M07;112,9
;2020M08;112,5
;2020M09;112,9
;2020M10;113,2
;2020M11;112,4
;2020M12;112,9
;2021M01;114,1
;2021M02;114,9
;2021M03;114,6
;2021M04;115,0
;2021M05;114,9
;2021M06;115,3
;2021M07;116,3
;2021M08;116,3
;2021M09;117,5
;2021M10;117,2
;2021M11;118,1
;2021M12;118,9
;2022M01;117,8
;2022M02;119,1
;2022M03;119,8
;2022M04;121,2
;2022M05;121,5
;2022M06;122,6
;2022M07;124,2
;2022M08;123,9
;2022M09;125,6
;2022M10;126,0
;2022M11;125,8
;2022M12;125,9
;2023M01;126,1
;2023M02;126,6
;2023M03;127,6
;2023M04;129,0
;2023M05;129,6
;2023M06;130,4
;2023M07;130,9
;2023M08;129,9
;2023M09;129,8
;2023M10;131,1
;2023M11;131,8
;2023M12;131,9
;2024M01;132,0
;2024M02;132,3
;2024M03;132,6
;2024M04;133,7
;2024M05;133,5
;2024M06;133,8
;2024M07;134,5
;2024M08;133,3
;2024M09;133,7
;2024M10;134,5
;2024M11;134,9
;2024M12;134,8
;2025M01;135,1
;2025M02;137,0
;;
"F.o.m. 2017 er referanseår 2015=100. Endringstall beregnet fra 2015=100 serier kan være ulike fra tidligere publiserte endringstall med ulike referanseår. Avvikene skyldes i all hovedsak avrundingseffekter. Se den avsluttede tidsserien 11446 for publiserte endringstall t.o.m. 2016 med 1998=100. 

<br><br>Fra januar 2016 gjelder EUROSTATs konsumklassifisering (ECOICOP) - en utvidet klassifisering på detaljert nivå.";;
Følgende prisindekser for tjenester er under koronapandemien basert på estimerte verdier grunnet bortfall av konsum 2020M04: 06.2.2, 07.3.3, 09.4.2, 09.6.0, 11.2.0, 12.1.1, 12.4.0., 2020M05: 06.2.2, 07.3.3, 09.4.2, 09.6.0, 11.2.0, 12.1.1, 2020M06-2020M12: 07.3.3.2, 09.6.0, 2021M01-M05: 07.3.3, 07.3.4, 09.6.0, 2021M06-M07: 07.3.3.2, 07.3.4, 09.6.0, 2021M08: 07.3.3.2, 09.6.0;;
;;
Sist endret:;;
Konsumprisindeks (2015=100):;;
20250310 08:00;;
;;
Kilde:;;
Statistisk sentralbyrå;;
;;
Kontakt:;;
Konsumprisindeks (2015=100):;;
 Konsumprisindeksen, Statistisk sentralbyrå;;
 +47 62 88 56 34;;
konsumprisindeksen@ssb.no;;
;;
;;
;;
;;
Måleenhet:;;
Konsumprisindeks (2015=100):;;
indeks;;
Målemetode:;;
Konsumprisindeks (2015=100):;;
Gjennomsnitt;;
;;
Referansetid:;;
Konsumprisindeks (2015=100);;
Måned;;
;;
Konsumprisindeks (2015=100):;;
2015;;
;;
;;
;;
;;
Offisiell statistikk;;
;;
Database:;;
Ekstern PRODUKSJON;;
;;
Intern referansekode:;;
KpiIndMnd;;
